"","x"
"1",12.951
"2",12.964
"3",12.956
"4",12.969
"5",12.961
"6",12.973
"7",12.965
"8",12.977
"9",12.97
"10",12.981
"11",12.974
"12",12.985
"13",12.979
"14",12.989
"15",12.983
"16",12.993
"17",12.987
"18",12.997
"19",12.992
"20",13.001
"21",12.996
"22",13.005
"23",13
"24",13.009
"25",13.004
"26",13.012
"27",13.008
"28",13.016
"29",13.012
"30",13.02
"31",13.016
"32",13.023
"33",13.02
"34",13.027
"35",13.023
"36",13.03
"37",13.027
"38",13.034
"39",13.031
"40",13.037
"41",13.034
"42",13.041
"43",13.038
"44",13.044
"45",13.041
"46",13.047
"47",13.045
"48",13.051
"49",13.048
"50",13.054
"51",13.052
"52",13.057
"53",13.055
"54",13.06
"55",13.058
"56",13.063
"57",13.061
"58",13.066
"59",13.065
"60",13.069
"61",13.068
"62",13.072
"63",13.071
"64",13.075
"65",13.074
"66",13.078
"67",13.077
"68",13.081
"69",13.08
"70",13.084
"71",13.083
"72",13.087
"73",13.086
"74",13.09
"75",13.089
"76",13.092
"77",13.091
"78",13.095
"79",13.094
"80",13.098
"81",13.097
"82",13.1
"83",13.1
"84",13.103
"85",13.102
"86",13.105
"87",13.105
"88",13.108
"89",13.107
"90",13.11
"91",13.11
"92",13.113
"93",13.112
"94",13.115
"95",13.115
"96",13.118
"97",13.117
"98",13.12
"99",13.12
"100",13.122
"101",13.122
"102",13.125
"103",13.125
"104",13.127
"105",13.127
"106",13.129
"107",13.129
"108",13.131
"109",13.131
"110",13.134
"111",13.134
"112",13.136
"113",13.136
"114",13.138
"115",13.138
"116",13.14
"117",13.14
"118",13.142
"119",13.142
"120",13.144
"121",13.144
"122",13.146
"123",13.146
"124",13.148
"125",13.148
"126",13.15
"127",13.15
"128",13.152
"129",13.152
"130",13.154
"131",13.154
"132",13.156
"133",13.156
"134",13.158
"135",13.158
"136",13.16
"137",13.16
"138",13.161
"139",13.162
"140",13.163
