"","Overall"
"Brand.CodeA",0.0971864043473488
"Brand.CodeB",5.76837146240907
"Brand.CodeC",4.61900009592962
"Brand.CodeD",2.038088851228
"Carb.Volume",1.49461953643137
"Fill.Ounces",2.34331138915009
"PC.Volume",1.9088512449617
"Carb.Temp",1.25195723581299
"PSC",1.68802475677616
"PSC.Fill",1.27704376991155
"PSC.CO2",2.00013244311055
"Mnf.Flow",15.6624053463901
"Carb.Pressure1",10.2781177638711
"Fill.Pressure",1.9039305308197
"Hyd.Pressure2",1.94041114467176
"Hyd.Pressure3",5.37607845374597
"Filler.Level",2.20157603689471
"Temperature",5.6530333815376
"Usage.cont",6.33124329771208
"Carb.Flow",3.76212403912632
"Density",4.53337042015491
"Balling",3.19126213058498
"Pressure.Vacuum",2.65536126225014
"Oxygen.Filler",4.51632868563813
"Bowl.Setpoint",6.02001166045343
"Pressure.Setpoint",4.55662558501125
"Air.Pressurer",1.09577774931116
"Alch.Rel",3.51340571660627
"Balling.Lvl",5.12280734862214
